Category,Annotation title,n
Algae,alg,44
Algae,alg?,9
Alnipollenites verus,Alnipollenites sp.,7
Alnipollenites verus,Alnipollenites verus,85
Rousea sp.,Amanoa sp.,1
Fungi,Amerospore,7
Arecipites sp.,Arecipites reticulatus,1
Arecipites sp.,Arecipites sp.,77
Arecipites sp.,Arecipites tenuiexinous,1
Algae,Azolla,2
Betulaceae,Betulaceae,76
Betulaceae,Betulaceae sp.,1
Betulaceae,Betulaceae/Myricaceae,1
Bisaccate,Bipol,264
Bisaccate,bipol,1
Bisaccate,Bisaccate,40
Bisaccate,Bisaccate pollen,11
Bombacacidites sp.,Bombacacidites cf. annae,1
Bombacacidites sp.,Bombacacidites sp.,14
Algae,Botryoccocus,1
Algae,Botryococcus,3
Fungi,Bulbilspore,3
Calamuspollenites?,Calamuspollenites?,1
Caprifollipites sp.,Caprifoliipites paleocenicus,1
Caprifollipites sp.,Caprifoliipites sp.,5
Caprifollipites sp.,Caprifollipites sp.,1
Caryapollenites sp.,Carya sp.,3
Caryapollenites sp.,Caryapollenites,9
Caryapollenites sp.,Caryapollenites imparalis,34
Caryapollenites sp.,Caryapollenites prodromus,1
Caryapollenites sp.,Caryapollenites sp.,33
Caryapollenites veripites,Caryapollenites veripites,55
Caryapollenites sp.,Caryapollenites wodehousei,14
Caryapollenites sp.,Caryapollenotes sp.,1
Cicatricosisporites sp.,Cicatricosisporites,2
Cicatricosisporites sp.,Cicatricosisporites dorogensis,15
Cicatricosisporites sp.,Cicatricosisporites sp.,35
Clavaperipollenites,clavaperipollenites circularis,1
Clavatricolpites sp.,Clavatricolpites sp.,2
Triporites sp.,Corsinipollenites operculatus,1
Triporites sp.,Corsinipollenites sp.,6
Triporites sp.,Corsinipollenites undulatus,1
Cupuliferoipollenites sp.,Cupuliferoipollenites sp.,27
Psilatriletes sp.,Cyathiacidites sp.,1
Psilatriletes sp.,Cyathidites,6
Psilatriletes sp.,Cyathidites sp.,13
Psilatriletes sp.,Deltoidospora,1
Psilatriletes sp.,Deltoidospora microadriennis,1
Psilatriletes sp.,Deltoidospora sp.,17
Fungi,Didymospore,3
Dinocyst,din,132
Dinocyst,din?,7
Dinocyst,Dinocyst,2
Dinocyst,Dinocyst 4220,1
Dinocyst,Dinocyst D4220,1
Echiperiporites akanthos,Echiperiporites akanthos,2
Echipollenites sp.,Echipollenites sp.,1
Echitricolpites microechinatus,Echitricolpites microechinatus,12
Ericipites sp.,Ericaipites sp.,1
Ericipites sp.,Ericipites,1
Ericipites sp.,Ericipites sp.,52
Retitricolpites sp.,Fraxinoipollenites sp.,16
Fungi,fun,332
Fungi,Germling,2
Gothanipollis sp.,Gothanipollis sp.,2
Hippocrateaceaedites sp.,Hippocrateaceaedites kernii,10
Hippocrateaceaedites sp.,Hippocrateaceaedites sp.,1
Rhoipites sp.,Horniella sp.,15
Illexpollenites sp.,Illexpollenites,1
Illexpollenites sp.,Illexpollenites sp.,32
Inaperturopollenites sp.,Inaperturopollenites,1
Inaperturopollenites sp.,Inaperturopollenites sp.,42
Juglans sp.,Juglans,1
Polyatriopollenites type,Juglans nigripites,12
Laevigatosporites sp.,Laevigatosporites,2
Laevigatosporites sp.,Laevigatosporites sp.,35
Arecipites sp.,Liliacidites sp.,2
Momipites sp,Momipites,156
Momipites sp,Momipites coryloides,1
Momipites flexus,Momipites flexus,38
Momipites sp,Momipites microfoveolatus,2
Momipites sp,Momipites sp,1
Momipites sp,Momipites sp.,23
Momipites ventifluminis,Momipites ventifluminis,60
Momipites ventifluminis,Momipites vermifluminis,1
Momipites wyomingensis,Momipites wyomingensis,51
Momipites sp,Momipites?,1
Monocolpites sp.,Monocolpate,1
Monocolpites sp.,Monocolpites,7
Monocolpites sp.,Monocolpites sp,2
Monocolpites sp.,Monocolpites sp.,16
Monocolpites sp.,Monocolpites?,1
Laevigatosporites sp.,Monolete,1
Monoporopollenites,Monoporopollenites annulatus,3
Monocolpites sp.,Monosulcites,6
Nudopollis sp.,Myrtaceae type,3
Nudopollis sp.,Myrtaceidites parvus,1
Nudopollis sp.,Nudipollis sp.,1
Nudopollis sp.,Nudopollis sp.,84
Nyssapollenites sp.,Nyssapollenites sp.,5
Nyssapollenites sp.,Nyssapollenitessp.,1
Indet.,paly,1926
Indet.,Paly,3
Indet.,paly?,4
